OrderDate,ReturnDate,SalesOrderNumber,CustomerKey,Customer,BusinessType,Continent,CountryName,StateCode,StateName,CityName,ProductKey,ProductName,SubcategoryName,ProductSize,ProductDetail,CategoryName,ReturnQuantity,UnitPrice,ReturnAmount
2010-12-29 00:00:00,2011-01-13 00:00:00,SO43662,227,Afterburner Store,Warehouse,North America,Canada,ON,Ontario,Toronto,262,PRO Weight Gainer,Gainer,1lbs,Cookies,Carbs,3,"183,938","551,815"
2010-12-29 00:00:00,2011-01-07 00:00:00,SO43692,221,Bro Warehouse,Warehouse,North America,United States,NM,New Mexico,Las Cruces,315,Hydrolyzed Whey Protein,Whey Protein,2lbs,Vanilla,Protein,8,"874,794","6998,352"
2010-12-29 00:00:00,2011-01-15 00:00:00,SO43686,344,Eagle Fitness,Gym,North America,United States,WA,Washington,Everett,326,Blended Protein,Blended Protein,2lbs,Peanut Butter,Protein,1,"419,459","419,459"
2010-12-29 00:00:00,2011-01-16 00:00:00,SO43686,344,Eagle Fitness,Gym,North America,United States,WA,Washington,Everett,342,Hydrolyzed Whey Protein,Whey Protein,1lbs,Banana,Protein,1,"419,459","419,459"
2010-12-29 00:00:00,2011-01-13 00:00:00,SO43686,344,Eagle Fitness,Gym,North America,United States,WA,Washington,Everett,319,Hydrolyzed Whey Protein,Whey Protein,2lbs,Chocolate,Protein,3,"874,794","2624,382"
2010-12-29 00:00:00,2011-01-17 00:00:00,SO43681,423,Endure Warehouse,Warehouse,North America,United States,MS,Mississippi,Biloxi,342,Hydrolyzed Whey Protein,Whey Protein,1lbs,Banana,Protein,3,"419,459","1258,377"
2010-12-29 00:00:00,2011-01-15 00:00:00,SO43666,511,Happy Department,Warehouse,North America,United States,CA,California,San Mateo,338,100% Egg Protein,Egg Protein,2lbs,Banana,Protein,2,"419,459","838,918"
2010-12-29 00:00:00,2011-01-06 00:00:00,SO43666,511,Happy Department,Warehouse,North America,United States,CA,California,San Mateo,334,100% Egg Protein,Egg Protein,2lbs,Strawberry,Protein,1,"419,459","419,459"
2010-12-29 00:00:00,2011-01-14 00:00:00,SO43668,514,Helios Warehouse,Warehouse,North America,Canada,BC,British Columbia,Richmond,229,Long-Sleeve Logo Jersey,Jerseys,M,Red,Clothing,4,"28,840","115,362"
2010-12-29 00:00:00,2011-01-11 00:00:00,SO43689,166,Mindful Department,Warehouse,North America,United States,TX,Texas,Garland,334,100% Egg Protein,Egg Protein,2lbs,Strawberry,Protein,4,"419,459","1677,836"
2010-12-29 00:00:00,2011-01-08 00:00:00,SO43688,161,Monster Healthy,Supplement Store,North America,United States,IN,Indiana,Fort Wayne,270,PRO Weight Gainer,Gainer,1lbs,Vanilla,Carbs,2,"183,938","367,876"
2010-12-29 00:00:00,2011-01-10 00:00:00,SO43665,146,Monster Well,Supplement Store,North America,United States,WA,Washington,Seattle,348,Isolate Whey Protein,Whey Protein,5lbs,Peanut Butter,Protein,2,"2024,994","4049,988"
2010-12-29 00:00:00,2011-01-10 00:00:00,SO43694,315,Monsterx,Supplement Store,North America,United States,FL,Florida,Merritt Island,235,Long-Sleeve Logo Jersey,Jerseys,XL,Red,Clothing,3,"28,840","86,521"
2010-12-29 00:00:00,2011-01-11 00:00:00,SO43673,618,Nutrition A+,Supplement Store,North America,United States,NH,New Hampshire,Plaistow,324,Blended Protein,Blended Protein,2lbs,Chocolate,Protein,2,"419,459","838,918"
2010-12-29 00:00:00,2011-01-19 00:00:00,SO43680,491,Supplements Body,Supplement Store,North America,United States,CA,California,Modesto,212,Opti-Women Multivitamin,Vitamins,60 Capsules,NA,Vitamins,4,"20,187","80,746"
2010-12-29 00:00:00,2011-01-14 00:00:00,SO43659,676,Supplements Gun,Supplement Store,North America,United States,GA,Georgia,Austell,346,Isolate Whey Protein,Whey Protein,5lbs,Chocolate,Protein,2,"2039,994","4079,988"
2010-12-29 00:00:00,2011-01-06 00:00:00,SO43675,670,Supplements League,Supplement Store,North America,United States,MO,Missouri,Odessa,285,TrueFit Grass-Fed Protein,Meal Replacement,2lbs,Natural,Carbs,2,"178,581","357,162"
2010-12-29 00:00:00,2011-01-08 00:00:00,SO43677,679,Supplements Micro,Supplement Store,North America,Canada,QC,Quebec,Montreal,215,Women Multivitamin,Vitamins,120 Capsules,NA,Vitamins,2,"20,187","40,373"
2010-12-29 00:00:00,2011-01-17 00:00:00,SO43685,458,Supplements Nurture,Supplement Store,North America,United States,FL,Florida,Destin,328,100% Egg Protein,Egg Protein,2lbs,Capuccino,Protein,1,"419,459","419,459"
